"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"729,000","-66,975","2,510","-","861.35","-199.95","450","858.10","863.25","2,250","12000.00","3,075","0.55","0.60","2,625","-1.80","0.60","73.36","97,185","-665,025","3,096,675","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"18,675","-1,275","40","-","806.65","-204.20","75","800.35","828.65","75","12050.00","75","0.45","0.90","75","-2.30","0.25","70.96","1,749","-30,225","97,725","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"417,975","-6,000","645","-","761.05","-211.30","150","758.25","764.50","150","12100.00","75","0.60","0.70","150","-2.00","0.60","68.50","28,669","-291,225","764,700","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"24,750","-825","36","-","710.00","-194.00","75","704.05","715.15","450","12150.00","600","0.55","0.85","75","-2.25","0.55","66.22","1,303","-19,425","48,375","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"387,000","-10,125","1,055","-","663.25","-207.80","375","659.35","666.10","75","12200.00","1,050","0.80","0.90","5,250","-2.05","0.90","63.40","46,246","-474,825","1,131,000","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"18,825","-975","46","-","610.30","-217.55","75","602.55","615.65","2,625","12250.00","300","1.00","1.25","3,000","-2.10","1.05","60.97","4,175","-29,700","110,850","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"253,800","-42,300","1,124","-","561.00","-203.70","75","559.00","563.00","600","12300.00","300","1.20","1.30","75","-2.20","1.20","58.27","83,311","-777,675","1,037,625","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"12,450","-825","49","-","513.40","-198.65","75","506.50","514.65","1,575","12350.00","75","1.20","1.50","75","-2.00","1.75","56.05","6,386","-42,975","140,325","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"303,750","-38,250","1,290","-","463.40","-201.10","75","459.00","462.95","450","12400.00","675","1.80","2.00","3,525","-2.20","2.00","53.68","101,882","-904,200","1,299,675","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"22,425","-4,650","113","-","407.90","-206.70","75","408.90","414.10","825","12450.00","225","2.50","2.60","4,425","-1.90","2.60","51.19","29,125","126,825","607,050","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"793,800","-69,525","6,675","-","362.00","-204.90","150","361.05","363.80","750","12500.00","150","3.40","3.50","1,575","-1.65","3.40","48.45","197,395","149,700","3,362,175","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"9,525","-4,350","154","-","311.60","-201.05","2,475","297.55","315.70","600","12550.00","1,950","4.00","4.50","75","-1.35","4.05","45.85","66,145","66,675","652,725","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
